Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,4.0,4.5,Hai phương pháp gần nhau.
cross-doc,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,4.0,4.5,Hai phương pháp gần nhau.
cross-doc,Latency (s),1.89,1.986,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,682.0,586.5,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.756,0.697,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,594.0,509.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,5.0,3.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
multi-hop,Faithfulness,5.0,4.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
multi-hop,Multi-hop reasoning,5.0,3.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
multi-hop,Latency (s),1.411,1.787,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,614.0,563.0,GraphRAG không đắt hơn trong sample này.
